grid_type,game_id,game_event_id,player_id,player_name,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,htm,vtm,shot_made_numeric,shot_value
Shot Chart Detail,0021400047,523,203492,Ray McCallum,1610612758,Sacramento Kings,4,9,52,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,-10.3,16.4,1,missed,2014-11-03,DEN,SAC,0,2
Shot Chart Detail,0021400047,578,203492,Ray McCallum,1610612758,Sacramento Kings,4,4,31,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1.5,1.5,1,made,2014-11-03,DEN,SAC,1,2
Shot Chart Detail,0021400047,588,203492,Ray McCallum,1610612758,Sacramento Kings,4,3,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,-1,1,made,2014-11-03,DEN,SAC,1,2
Shot Chart Detail,0021400047,615,203492,Ray McCallum,1610612758,Sacramento Kings,4,1,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,18,16.5,1,missed,2014-11-03,DEN,SAC,0,3
Shot Chart Detail,0021400047,617,203492,Ray McCallum,1610612758,Sacramento Kings,4,1,47,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,21.3,14.3,1,missed,2014-11-03,DEN,SAC,0,3
Shot Chart Detail,0021400067,576,203492,Ray McCallum,1610612758,Sacramento Kings,4,3,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,-11.8,7.4,1,made,2014-11-05,SAC,DEN,1,2
Shot Chart Detail,0021400067,590,203492,Ray McCallum,1610612758,Sacramento Kings,4,2,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,15.5,24.9,1,made,2014-11-05,SAC,DEN,1,3
Shot Chart Detail,0021400067,599,203492,Ray McCallum,1610612758,Sacramento Kings,4,1,26,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,10.9,10.2,1,made,2014-11-05,SAC,DEN,1,2
Shot Chart Detail,0021400067,611,203492,Ray McCallum,1610612758,Sacramento Kings,4,0,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,14.1,21.6,1,missed,2014-11-05,SAC,DEN,0,3
Shot Chart Detail,0021400092,153,203492,Ray McCallum,1610612758,Sacramento Kings,2,9,17,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-22.5,0.9,1,missed,2014-11-09,OKC,SAC,0,3
Shot Chart Detail,0021400106,136,203492,Ray McCallum,1610612758,Sacramento Kings,1,0,9,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-0.4,0.7,1,missed,2014-11-11,DAL,SAC,0,2
Shot Chart Detail,0021400106,144,203492,Ray McCallum,1610612758,Sacramento Kings,1,0,0,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,18.2,20.5,1,missed,2014-11-11,DAL,SAC,0,3
Shot Chart Detail,0021400106,152,203492,Ray McCallum,1610612758,Sacramento Kings,2,11,14,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-22.6,2,1,made,2014-11-11,DAL,SAC,1,3
Shot Chart Detail,0021400106,189,203492,Ray McCallum,1610612758,Sacramento Kings,2,7,57,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,4.1,19.5,1,missed,2014-11-11,DAL,SAC,0,2
Shot Chart Detail,0021400106,419,203492,Ray McCallum,1610612758,Sacramento Kings,3,1,27,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,7.8,16.7,1,missed,2014-11-11,DAL,SAC,0,2
Shot Chart Detail,0021400158,101,203492,Ray McCallum,1610612758,Sacramento Kings,1,0,59,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,23.1,1.7,1,missed,2014-11-18,SAC,NOP,0,3
Shot Chart Detail,0021400158,132,203492,Ray McCallum,1610612758,Sacramento Kings,2,8,47,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-4.7,19,1,missed,2014-11-18,SAC,NOP,0,2
Shot Chart Detail,0021400158,386,203492,Ray McCallum,1610612758,Sacramento Kings,4,10,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,1.2,1,made,2014-11-18,SAC,NOP,1,2
Shot Chart Detail,0021400158,441,203492,Ray McCallum,1610612758,Sacramento Kings,4,5,8,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,22.9,3,1,made,2014-11-18,SAC,NOP,1,3
Shot Chart Detail,0021400208,112,203492,Ray McCallum,1610612758,Sacramento Kings,1,0,36,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,8.4,0.3,1,made,2014-11-25,NOP,SAC,1,2
Shot Chart Detail,0021400208,153,203492,Ray McCallum,1610612758,Sacramento Kings,2,9,34,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,12.8,11.3,1,made,2014-11-25,NOP,SAC,1,2
Shot Chart Detail,0021400208,174,203492,Ray McCallum,1610612758,Sacramento Kings,2,7,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2.3,0.4,1,made,2014-11-25,NOP,SAC,1,2
Shot Chart Detail,0021400208,398,203492,Ray McCallum,1610612758,Sacramento Kings,3,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,30,-8.6,29.3,1,missed,2014-11-25,NOP,SAC,0,3
Shot Chart Detail,0021400208,422,203492,Ray McCallum,1610612758,Sacramento Kings,4,10,31,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,-14.6,0.6,1,made,2014-11-25,NOP,SAC,1,2
Shot Chart Detail,0021400208,444,203492,Ray McCallum,1610612758,Sacramento Kings,4,7,57,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-23.6,1.2,1,missed,2014-11-25,NOP,SAC,0,3
Shot Chart Detail,0021400208,483,203492,Ray McCallum,1610612758,Sacramento Kings,4,5,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,15.8,21.9,1,missed,2014-11-25,NOP,SAC,0,3
Shot Chart Detail,0021400217,415,203492,Ray McCallum,1610612758,Sacramento Kings,3,0,0,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,16.8,12.7,1,missed,2014-11-26,HOU,SAC,0,2
Shot Chart Detail,0021400292,195,203492,Ray McCallum,1610612758,Sacramento Kings,2,5,31,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-22.8,7.7,1,missed,2014-12-06,SAC,ORL,0,3
Shot Chart Detail,0021400347,125,203492,Ray McCallum,1610612758,Sacramento Kings,2,9,28,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,-7.8,15.9,1,missed,2014-12-13,SAC,DET,0,2
Shot Chart Detail,0021400347,129,203492,Ray McCallum,1610612758,Sacramento Kings,2,9,19,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2.4,1.1,1,missed,2014-12-13,SAC,DET,0,2
Shot Chart Detail,0021400347,386,203492,Ray McCallum,1610612758,Sacramento Kings,3,0,0,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0.2,1.5,1,missed,2014-12-13,SAC,DET,0,2
Shot Chart Detail,0021400347,398,203492,Ray McCallum,1610612758,Sacramento Kings,4,10,20,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-23.4,2.8,1,made,2014-12-13,SAC,DET,1,3
Shot Chart Detail,0021400347,408,203492,Ray McCallum,1610612758,Sacramento Kings,4,9,12,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,8.1,16.7,1,missed,2014-12-13,SAC,DET,0,2
Shot Chart Detail,0021400347,429,203492,Ray McCallum,1610612758,Sacramento Kings,4,7,31,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,8.6,16.5,1,made,2014-12-13,SAC,DET,1,2
Shot Chart Detail,0021400347,432,203492,Ray McCallum,1610612758,Sacramento Kings,4,6,59,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,1.5,1,made,2014-12-13,SAC,DET,1,2
Shot Chart Detail,0021400347,442,203492,Ray McCallum,1610612758,Sacramento Kings,4,5,44,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,2.1,6.3,1,missed,2014-12-13,SAC,DET,0,2
Shot Chart Detail,0021400402,295,203492,Ray McCallum,1610612758,Sacramento Kings,2,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,38,-18.2,33.4,1,missed,2014-12-21,SAC,LAL,0,3
Shot Chart Detail,0021400402,450,203492,Ray McCallum,1610612758,Sacramento Kings,4,11,4,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-23.6,1.9,1,missed,2014-12-21,SAC,LAL,0,3
Shot Chart Detail,0021400402,463,203492,Ray McCallum,1610612758,Sacramento Kings,4,9,10,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,23.2,0.9,1,missed,2014-12-21,SAC,LAL,0,3
Shot Chart Detail,0021400415,394,203492,Ray McCallum,1610612758,Sacramento Kings,3,1,13,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,1.3,3.1,1,missed,2014-12-22,GSW,SAC,0,2
Shot Chart Detail,0021400415,399,203492,Ray McCallum,1610612758,Sacramento Kings,3,0,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,-10.2,16.7,1,made,2014-12-22,GSW,SAC,1,2
Shot Chart Detail,0021400415,427,203492,Ray McCallum,1610612758,Sacramento Kings,4,9,28,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,12.3,14.2,1,missed,2014-12-22,GSW,SAC,0,2
Shot Chart Detail,0021400415,435,203492,Ray McCallum,1610612758,Sacramento Kings,4,8,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-0.4,26.3,1,missed,2014-12-22,GSW,SAC,0,3
Shot Chart Detail,0021400415,459,203492,Ray McCallum,1610612758,Sacramento Kings,4,6,22,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-21.5,16,1,made,2014-12-22,GSW,SAC,1,3
Shot Chart Detail,0021400415,463,203492,Ray McCallum,1610612758,Sacramento Kings,4,5,8,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,-15.1,11.9,1,missed,2014-12-22,GSW,SAC,0,2
Shot Chart Detail,0021400442,139,203492,Ray McCallum,1610612758,Sacramento Kings,2,11,5,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2.4,0.6,1,made,2014-12-26,SAC,PHX,1,2
Shot Chart Detail,0021400442,162,203492,Ray McCallum,1610612758,Sacramento Kings,2,9,2,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,13.4,5.8,1,made,2014-12-26,SAC,PHX,1,2
Shot Chart Detail,0021400442,207,203492,Ray McCallum,1610612758,Sacramento Kings,2,5,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,-21.1,2,1,missed,2014-12-26,SAC,PHX,0,2
Shot Chart Detail,0021400442,219,203492,Ray McCallum,1610612758,Sacramento Kings,2,4,24,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-3.1,0.7,1,missed,2014-12-26,SAC,PHX,0,2
