grid_type,game_id,game_event_id,player_id,player_name,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,htm,vtm,shot_made_numeric,shot_value
Shot Chart Detail,0021400006,3,708,Kevin Garnett,1610612751,Brooklyn Nets,1,11,33,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-7.2,13.1,1,missed,2014-10-29,BOS,BKN,0,2
Shot Chart Detail,0021400006,35,708,Kevin Garnett,1610612751,Brooklyn Nets,1,8,32,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,8.4,18.6,1,made,2014-10-29,BOS,BKN,1,2
Shot Chart Detail,0021400006,53,708,Kevin Garnett,1610612751,Brooklyn Nets,1,6,19,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-5.4,3.4,1,made,2014-10-29,BOS,BKN,1,2
Shot Chart Detail,0021400006,158,708,Kevin Garnett,1610612751,Brooklyn Nets,2,9,10,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-4.2,10.5,1,missed,2014-10-29,BOS,BKN,0,2
Shot Chart Detail,0021400006,210,708,Kevin Garnett,1610612751,Brooklyn Nets,2,4,5,Made Shot,Fadeaway Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,5.2,2.6,1,made,2014-10-29,BOS,BKN,1,2
Shot Chart Detail,0021400006,312,708,Kevin Garnett,1610612751,Brooklyn Nets,3,8,23,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,14.7,12.9,1,made,2014-10-29,BOS,BKN,1,2
Shot Chart Detail,0021400006,329,708,Kevin Garnett,1610612751,Brooklyn Nets,3,6,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,12.5,13.2,1,made,2014-10-29,BOS,BKN,1,2
Shot Chart Detail,0021400006,331,708,Kevin Garnett,1610612751,Brooklyn Nets,3,5,45,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,17.2,8.3,1,missed,2014-10-29,BOS,BKN,0,2
Shot Chart Detail,0021400033,3,708,Kevin Garnett,1610612751,Brooklyn Nets,1,11,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,-10.2,18.6,1,missed,2014-11-01,DET,BKN,0,2
Shot Chart Detail,0021400033,22,708,Kevin Garnett,1610612751,Brooklyn Nets,1,9,32,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,0,20.8,1,made,2014-11-01,DET,BKN,1,2
Shot Chart Detail,0021400033,34,708,Kevin Garnett,1610612751,Brooklyn Nets,1,7,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,9.7,18.1,1,missed,2014-11-01,DET,BKN,0,2
Shot Chart Detail,0021400033,41,708,Kevin Garnett,1610612751,Brooklyn Nets,1,7,19,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,-12.5,12.9,1,missed,2014-11-01,DET,BKN,0,2
Shot Chart Detail,0021400033,51,708,Kevin Garnett,1610612751,Brooklyn Nets,1,6,19,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,15.5,5.2,1,missed,2014-11-01,DET,BKN,0,2
Shot Chart Detail,0021400033,174,708,Kevin Garnett,1610612751,Brooklyn Nets,2,7,20,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-0.4,-0.3,1,made,2014-11-01,DET,BKN,1,2
Shot Chart Detail,0021400033,179,708,Kevin Garnett,1610612751,Brooklyn Nets,2,6,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,14.9,14.6,1,made,2014-11-01,DET,BKN,1,2
Shot Chart Detail,0021400033,228,708,Kevin Garnett,1610612751,Brooklyn Nets,2,2,40,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,17.2,3,1,made,2014-11-01,DET,BKN,1,2
