grid_type,game_id,game_event_id,player_id,player_name,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,htm,vtm,shot_made_numeric,shot_value
Shot Chart Detail,0021400008,14,201143,Al Horford,1610612737,Atlanta Hawks,1,10,6,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,-17.6,1.1,1,missed,2014-10-29,TOR,ATL,0,2
Shot Chart Detail,0021400008,17,201143,Al Horford,1610612737,Atlanta Hawks,1,9,35,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-0.6,10.5,1,missed,2014-10-29,TOR,ATL,0,2
Shot Chart Detail,0021400008,21,201143,Al Horford,1610612737,Atlanta Hawks,1,9,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,-12.7,-0.5,1,made,2014-10-29,TOR,ATL,1,2
Shot Chart Detail,0021400008,26,201143,Al Horford,1610612737,Atlanta Hawks,1,8,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-0.6,14.8,1,missed,2014-10-29,TOR,ATL,0,2
Shot Chart Detail,0021400008,123,201143,Al Horford,1610612737,Atlanta Hawks,1,0,7,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1.8,1.7,1,made,2014-10-29,TOR,ATL,1,2
Shot Chart Detail,0021400008,270,201143,Al Horford,1610612737,Atlanta Hawks,2,1,6,Missed Shot,Jump Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,1.2,1,missed,2014-10-29,TOR,ATL,0,2
Shot Chart Detail,0021400008,274,201143,Al Horford,1610612737,Atlanta Hawks,2,0,46,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1.8,0.9,1,missed,2014-10-29,TOR,ATL,0,2
Shot Chart Detail,0021400008,296,201143,Al Horford,1610612737,Atlanta Hawks,3,11,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,11.1,4.1,1,missed,2014-10-29,TOR,ATL,0,2
Shot Chart Detail,0021400008,314,201143,Al Horford,1610612737,Atlanta Hawks,3,9,5,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-0.9,0.1,1,made,2014-10-29,TOR,ATL,1,2
Shot Chart Detail,0021400008,321,201143,Al Horford,1610612737,Atlanta Hawks,3,8,32,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2.4,0.6,1,missed,2014-10-29,TOR,ATL,0,2
Shot Chart Detail,0021400008,337,201143,Al Horford,1610612737,Atlanta Hawks,3,7,1,Missed Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-0.1,4.8,1,missed,2014-10-29,TOR,ATL,0,2
Shot Chart Detail,0021400008,429,201143,Al Horford,1610612737,Atlanta Hawks,4,10,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,-16.2,0.3,1,made,2014-10-29,TOR,ATL,1,2
Shot Chart Detail,0021400008,433,201143,Al Horford,1610612737,Atlanta Hawks,4,9,28,Missed Shot,Turnaround Bank Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-7.2,1.7,1,missed,2014-10-29,TOR,ATL,0,2
Shot Chart Detail,0021400008,438,201143,Al Horford,1610612737,Atlanta Hawks,4,8,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,0,19.2,1,made,2014-10-29,TOR,ATL,1,2
Shot Chart Detail,0021400008,451,201143,Al Horford,1610612737,Atlanta Hawks,4,7,16,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,-6.7,16.8,1,made,2014-10-29,TOR,ATL,1,2
Shot Chart Detail,0021400032,32,201143,Al Horford,1610612737,Atlanta Hawks,1,7,23,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,9.7,17.3,1,made,2014-11-01,ATL,IND,1,2
Shot Chart Detail,0021400032,140,201143,Al Horford,1610612737,Atlanta Hawks,2,8,40,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,-18.1,1.1,1,made,2014-11-01,ATL,IND,1,2
Shot Chart Detail,0021400032,143,201143,Al Horford,1610612737,Atlanta Hawks,2,8,6,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1.5,0.9,1,made,2014-11-01,ATL,IND,1,2
Shot Chart Detail,0021400032,232,201143,Al Horford,1610612737,Atlanta Hawks,2,1,16,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,4.9,12.4,1,missed,2014-11-01,ATL,IND,0,2
Shot Chart Detail,0021400032,276,201143,Al Horford,1610612737,Atlanta Hawks,3,10,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,16.4,3.4,1,made,2014-11-01,ATL,IND,1,2
Shot Chart Detail,0021400032,282,201143,Al Horford,1610612737,Atlanta Hawks,3,9,39,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-0.9,0.4,1,made,2014-11-01,ATL,IND,1,2
